user_id,gender,age,body_weight,body_height,cal_need,food_id,value
1,1,22,54,160,1869,1,2
1,1,22,54,160,1869,2,2
1,1,22,54,160,1869,3,4
1,1,22,54,160,1869,4,1
1,1,22,54,160,1869,5,2
1,1,22,54,160,1869,6,1
1,1,22,54,160,1869,7,1
1,1,22,54,160,1869,8,4
1,1,22,54,160,1869,9,2
1,1,22,54,160,1869,10,3
1,1,22,54,160,1869,11,3
1,1,22,54,160,1869,12,3
1,1,22,54,160,1869,13,1
1,1,22,54,160,1869,14,2
1,1,22,54,160,1869,15,1
1,1,22,54,160,1869,16,3
1,1,22,54,160,1869,17,5
1,1,22,54,160,1869,18,1
1,1,22,54,160,1869,19,1
1,1,22,54,160,1869,20,1
1,1,22,54,160,1869,21,1
1,1,22,54,160,1869,22,1
1,1,22,54,160,1869,23,1
1,1,22,54,160,1869,24,2
1,1,22,54,160,1869,25,1
1,1,22,54,160,1869,26,4
1,1,22,54,160,1869,27,2
1,1,22,54,160,1869,28,4
1,1,22,54,160,1869,29,2
1,1,22,54,160,1869,30,1
1,1,22,54,160,1869,31,1
1,1,22,54,160,1869,32,1
1,1,22,54,160,1869,33,2
1,1,22,54,160,1869,34,0
1,1,22,54,160,1869,35,3
1,1,22,54,160,1869,36,2
1,1,22,54,160,1869,37,3
1,1,22,54,160,1869,38,2
1,1,22,54,160,1869,39,0
1,1,22,54,160,1869,40,1
1,1,22,54,160,1869,41,2
1,1,22,54,160,1869,42,2
1,1,22,54,160,1869,43,2
1,1,22,54,160,1869,44,3
1,1,22,54,160,1869,45,3
1,1,22,54,160,1869,46,4
1,1,22,54,160,1869,47,3
1,1,22,54,160,1869,48,2
1,1,22,54,160,1869,49,3
1,1,22,54,160,1869,50,2
1,1,22,54,160,1869,51,1
1,1,22,54,160,1869,52,1
1,1,22,54,160,1869,53,3
1,1,22,54,160,1869,54,2
1,1,22,54,160,1869,55,2
1,1,22,54,160,1869,56,4
1,1,22,54,160,1869,57,2
1,1,22,54,160,1869,58,1
1,1,22,54,160,1869,59,2
1,1,22,54,160,1869,60,5
1,1,22,54,160,1869,61,3
1,1,22,54,160,1869,62,1
1,1,22,54,160,1869,63,0
1,1,22,54,160,1869,64,3
